"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"47","0.9277","-58.042","","Cosine","cosine","1537.0","1537 (-) 1681","1537.0","false","cosine","1537 (-) 1681","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9277","-58.042","motif_51","Mass2Motif","motif_51","1537.0","1537 (-) 1681","1537.0","false","motif_51","1537 (-) 1681","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9277","-58.042","rhamn_motif_163.m2m","Mass2Motif","rhamn_motif_163.m2m","1537.0","1537 (-) 1681","1537.0","false","rhamn_motif_163.m2m","1537 (-) 1681","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9277","-58.042","motif_168","Mass2Motif","motif_168","1537.0","1537 (-) 1681","1537.0","false","motif_168","1537 (-) 1681","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9277","-58.042","rhamn_motif_108.m2m","Mass2Motif","rhamn_motif_108.m2m","1537.0","1537 (-) 1681","1537.0","false","rhamn_motif_108.m2m","1537 (-) 1681","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9231","-44.026","","Cosine","cosine","1537.0","1537 (-) 1641","1537.0","false","cosine","1537 (-) 1641","motif_51,rhamn_motif_163.m2m,motif_168","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9231","-44.026","motif_51","Mass2Motif","motif_51","1537.0","1537 (-) 1641","1537.0","false","motif_51","1537 (-) 1641","motif_51,rhamn_motif_163.m2m,motif_168","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9231","-44.026","rhamn_motif_163.m2m","Mass2Motif","rhamn_motif_163.m2m","1537.0","1537 (-) 1641","1537.0","false","rhamn_motif_163.m2m","1537 (-) 1641","motif_51,rhamn_motif_163.m2m,motif_168","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9231","-44.026","motif_168","Mass2Motif","motif_168","1537.0","1537 (-) 1641","1537.0","false","motif_168","1537 (-) 1641","motif_51,rhamn_motif_163.m2m,motif_168","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9205","-66.01100000000001","","Cosine","cosine","1537.0","1537 (-) 1703","1537.0","false","cosine","1537 (-) 1703","motif_51,rhamn_motif_163.m2m,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9205","-66.01100000000001","motif_51","Mass2Motif","motif_51","1537.0","1537 (-) 1703","1537.0","false","motif_51","1537 (-) 1703","motif_51,rhamn_motif_163.m2m,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9205","-66.01100000000001","rhamn_motif_163.m2m","Mass2Motif","rhamn_motif_163.m2m","1537.0","1537 (-) 1703","1537.0","false","rhamn_motif_163.m2m","1537 (-) 1703","motif_51,rhamn_motif_163.m2m,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9205","-66.01100000000001","rhamn_motif_108.m2m","Mass2Motif","rhamn_motif_108.m2m","1537.0","1537 (-) 1703","1537.0","false","rhamn_motif_108.m2m","1537 (-) 1703","motif_51,rhamn_motif_163.m2m,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9562","-94.042","","Cosine","cosine","1537.0","1537 (-) 1752","1537.0","false","cosine","1537 (-) 1752","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9562","-94.042","motif_51","Mass2Motif","motif_51","1537.0","1537 (-) 1752","1537.0","false","motif_51","1537 (-) 1752","motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
